tanggal_penyampaian,jenis_laporan,tahun_laporan,bidang,lembaga,unit_kerja,nama,jabatan,nhk,harta_tanah_dan_bangunan,harta_alat_transportasi_dan_mesin,harta_bergerak_lainnya,surat_berharga,harta_kas_dan_setara_kas,harta_lainnya,sub_total,hutang,total_harta_kekayaan
26 Februari 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,JURIST TAN,STAF KHUSUS BIDANG PEMERINTAHAN,251482,-,-,113400000,9006975006,720929919,991440345,10832745270,57712682,10775032588
17 Maret 2023,Periodik,2022,EKSEKUTIF,KANTOR PRESIDEN,PIMPINAN PEMERINTAHAN,JOKO WIDODO,PRESIDEN REPUBLIK INDONESIA,42822,66242200000,432000000,356950000,-,15338433676,-,82369583676,-,82369583676
19 Maret 2023,Periodik,2022,EKSEKUTIF,KANTOR WAKIL PRESIDEN,WAKIL PIMPINAN PEMERINTAHAN,K.H. MA'RUF AMIN,WAKIL PRESIDEN REPUBLIK INDONESIA,12352,7423900000,1100000000,256000000,-,5409010251,-,14188910251,-,14188910251
21 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL INFORMASI DAN KOMUNIKASI PUBLIK,USMAN KANSONG,DIREKTUR JENDERAL,896753,4450000000,-,-,-,294658886,-,4744658886,-,4744658886
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,PIMPINAN TERTINGGI,SRI MULYANI INDRAWATI,MENTERI KEUANGAN,35749,48270738510,204818000,446520000,11095052810,18526249040,-,78543378360,9825475176,68717903184
22 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,STAF AHLI BIDANG SOSIAL BUDAYA DAN PEMBERDAYAAN MASYARAKAT INDONESIA DI LUAR NEGERI,SITI NUGRAHA MAULUDIAH,STAF AHLI BIDANG SOSIAL BUDAYA DAN PEMBERDAYAAN MASYARAKAT,405600,1341679227,250000000,-,-,287598287,-,1879277514,283887875,1595389639
21 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,STAF AHLI,MIN USIHEN,STAF AHLI BIDANG SOSIAL,139497,2800000000,221500000,60000000,-,128000000,300000000,3509500000,7500000,3502000000
16 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL PROTOKOL DAN KONSULER,ANDY RACHMIANTO,DIREKTUR JENDERAL PROTOKOL DAN KONSULER,210766,2583720000,238000000,1000500000,300000000,5309000000,200000000,9631220000,-,9631220000
30 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,PIMPINAN TERTINGGI,YASONNA H. LAOLY,MENTERI,33655,3839090126,1047250200,4541499000,227922000,8847103912,5000000000,23502865238,-,23502865238
25 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN SOSIAL,PIMPINAN TERTINGGI,TRI RISMAHARINI,MENTERI,151020,13212910000,775000000,160000000,-,1738283356,-,15886193356,506963200,15379230156
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,WAKIL PIMPINAN,DANTE SAKSONO HARBUWONO,WAKIL MENTERI KESEHATAN,788417,33700000000,4150000000,6650000000,-,25587331426,-,70087331426,7224038510,62863292916
9 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN SOSIAL,SEKRETARIAT JENDERAL,HARRY HIKMAT,SEKRETARIS JENDERAL,83899,3200000000,347000000,80000000,-,2268935025,500000,5896435025,-,5896435025
30 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,STAF AHLI,HENRI SUBIAKTO,STAF AHLI MENTERI BIDANG HUKUM,409785,5800000000,440000000,425000000,-,1026000000,-,7691000000,-,7691000000
24 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL PELAYANAN KESEHATAN,AZHAR JAYA,DIREKTUR JENDERAL,254078,15586244584,187500000,125000000,36730000,1687853307,550000000,18173327891,48673291,18124654600
2 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,KANTOR WILAYAH KEMENTERIAN HUKUM DAN HAM KEPULAUAN RIAU,IWAN KURNIAWAN,KEPALA BAGIAN UMUM,164023,755000000,5000000,55000000,60000000,211777906,12000000,1098777906,82124581,1016653325
23 Maret 2023,Periodik,2022,BUMN/BUMD,PT KRAKATAU STEEL (PERSERO) TBK.,PIMPINAN TERTINGGI,SILMY KARIM,DIREKTUR UTAMA,162189,146726815000,2975000000,7390000000,7976329200,57398484566,-,222466628766,8637634946,213828993820
9 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN SOSIAL,INSPEKTORAT JENDERAL,DADANG ISKANDAR,INSPEKTUR JENDERAL,91280,3850000000,132500000,-,-,866549710,-,4849049710,-,4849049710
14 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,PUSAT LAPORAN DAN PEMBINAAN KEUANGAN,AMAD SUGIYONO,KEPALA PUSAT,416879,3338587000,787500000,165500000,-,305966477,170000000,4767553477,-,4767553477
15 Februari 2023,Periodik,2022,EKSEKUTIF,TENTARA NASIONAL INDONESIA,MABES TNI AD,MOHAMMAD FADJAR,KASDIVIF-2/KOSTRAD,887976,1160000000,733000000,459900000,-,1566256219,-,3919156219,-,3919156219
13 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,STAF AHLI,NUGROHO SULISTYO BUDI,STAF AHLI KHUSUS BIDANG POLITIK,719815,6049000000,140000000,137800000,-,538695817,475000000,7340495817,-,7340495817
28 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL BEA DAN CUKAI,ASKOLANI,DIREKTUR JENDERAL BEA DAN CUKAI,103536,17002044000,1323000000,1170000000,19529101450,12063495388,1174842084,52262482922,390090300,51872392622
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,BADAN PENGEMBANGAN SUMBER DAYA MANUSIA HUKUM DAN HAM,ASEP KURNIA,KEPALA BADAN PENGEMBANGAN SUMBER DAYA MANUSIA HUKUM DAN,132896,4724229300,-,39500000,-,1498641633,-,6262370933,-,6262370933
23 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,PIMPINAN TERTINGGI,M. TITO KARNAVIAN,MENTERI DALAM NEGERI,191175,8297741000,-,260000000,-,12140856731,-,20698597731,-,20698597731
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN KESEHATAN,PIMPINAN TERTINGGI,BUDI GUNADI SADIKIN,MENTERI KESEHATAN,92423,89000000000,1025000000,4418687181,67965770878,2286656026,-,164696114085,135937810,164560176275
14 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,DIREKTORAT JENDERAL PEMBINAAN HUB INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA,INDAH ANGGORO PUTRI,DIREKTUR JENDERAL,497049,1774550650,-,332000000,-,1110178810,-,3216729460,135052496,3081676964
22 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,PIMPINAN TERTINGGI,RETNO LESTARI PRIANSARI MARSUDI,MENTERI LUAR NEGERI RI,15169,2548454500,422250200,120000000,-,24699962579,727427807,28518095086,-,28518095086
27 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,BADAN PENDIDIKAN DAN PELATIHAN KEUANGAN,ANDIN HADIYANTO,KEPALA BADAN,121774,6844779443,469350000,2563046860,1000000000,1574030105,-,12451206408,-,12451206408
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,SEKRETARIAT JENDERAL,CECEP HERAWAN,SEKRETARIS JENDERAL,521264,43634458000,214000000,366200708,-,1705732965,-,45920391673,-,45920391673
28 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,JONY OKTAVIAN HARYANTO,STAF AHLI BIDANG INOVASI,899231,12987715000,-,350000000,-,2015557567,-,15353272567,4324079283,11029193284
30 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,BADAN PEMBINAAN HUKUM NASIONAL,WIDODO EKATJAHJANA,KEPALA BADAN,217690,10606316000,94000000,47424000,-,131000000,-,10878740000,1750000000,9128740000
21 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL SUMBER DAYA DAN PERANGKAT POS DAN INFORMATIKA,ISMAIL,DIREKTUR JENDERAL SUMBER DAYA DAN PERANGKAT POS DAN,151279,16972416000,791204500,961500000,1987950094,23116973804,-,43830044398,-,43830044398
30 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN PERTAHANAN,SEKRETARIAT JENDERAL,DONNY ERMAWAN T.,SEKRETARIS JENDERAL,252042,8003600000,95000000,880000000,687768000,2135380532,-,11801748532,-,11801748532
28 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,PRAMODA DEI SUDARMO,STAF KHUSUS BIDANG KOMPETENSI DAN MANAJEMEN,800710,3295000000,200000000,-,155550000,3174281473,-,6824831473,-,6824831473
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL KERJA SAMA ASEAN,SIDHARTO REZA SURYODIPURO,DIREKTUR JENDERAL KERJA SAMA ASEAN,205209,2108330000,128000000,-,-,1917357276,237000000,4390687276,-,4390687276
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,DIREKTORAT JENDERAL ADMINISTRASI HUKUM UMUM,CAHYO RAHADIAN MUZHAR,DIREKTUR JENDERAL,450256,19513000000,750000000,2500000000,-,1506370704,-,24269370704,2752445788,21516924916
9 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN PERTAHANAN,SEKRETARIAT JENDERAL,ZAINUL ARIFIN,KEPALA BIRO,635017,8405000000,2127000000,285000000,-,12661825000,6815000000,30293825000,814250000,29479575000
28 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PAJAK,SURYO UTOMO,DIREKTUR JENDERAL PAJAK,72292,14908164688,947000000,1096000000,-,4783249276,-,21734413964,3413810583,18320603381
17 Januari 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",INSPEKTORAT JENDERAL,CHATARINA MULIANA GIRSANG,INSPEKTUR JENDERAL,58727,2000000000,868368000,1655652440,546788569,614708339,506635312,6192152660,-,6192152660
23 Mei 2023,Khusus - Calon PN,2023,EKSEKUTIF,KEMENTERIAN PERTAHANAN,PUSAT REHABILITAS,DANIEL LUMADYO WARTOADI,KEPALA PUSAT,906812,1448400000,975000000,-,-,909722665,-,3333122665,-,3333122665
17 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,INSPEKTORAT JENDERAL,BUDI PRIJONO,INSPEKTUR JENDERAL,659393,5920000000,274000000,230850000,-,1856222274,-,8281072274,-,8281072274
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN BADAN USAHA MILIK NEGARA,WAKIL PIMPINAN,PAHALA NUGRAHA MANSURY,WAKIL MENTERI BUMN I,110493,56075000000,2245000000,1492000000,180781655174,9949763012,244415300,250787833486,100000000,250687833486
30 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,DIREKTORAT JENDERAL PEMASYARAKATAN,REYNHARD SAUD POLTAK SILITONGA,DIREKTUR JENDERAL,754831,2724120000,890000000,300000000,-,645000000,-,4559120000,-,4559120000
14 Oktober 2022,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT BUDDHA,"DRS. SUPRIYADI, M.PD",DIREKTUR JENDERAL,872200,500000000,210500000,-,-,65067768,-,775567768,226177500,549390268
14 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,PIMPINAN TERTINGGI,IDA FAUZIYAH,MENTERI,474,11284000000,1410000000,211600000,-,5343540272,-,18249140272,-,18249140272
30 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL HUKUM DAN PERJANJIAN INTERNASIONAL,L. AMRIH JINANGKUNG,DIREKTUR JENDERAL HUKUM DAN PERJANJIAN INTERNASIONAL,471285,3000000000,115000000,45000000,259005000,1198362234,75000000,4692367234,803231623,3889135611
6 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL REHABILITASI SOSIAL,PEPEN NAZARUDDIN,DIREKTUR JENDERAL,26103,4820000000,3500000,580000000,-,14561453,-,5418061453,-,5418061453
3 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,DIREKTORAT JENDERAL KESEHATAN MASYARAKAT,MARIA ENDANG SUMIWI,DIREKTUR JENDERAL,886537,1525000000,275000000,20750000,3094678200,1001544114,76500000,5993472314,-,5993472314
20 Maret 2023,Khusus - Awal Menjabat,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,INSPEKTORAT JENDERAL,DRS TOMSI TOHIR MSI,INSPEKTUR JENDERAL,663074,9510000000,450000000,16500000,-,538000000,-,10514500000,-,10514500000
9 Maret 2023,Periodik,2022,EKSEKUTIF,TENTARA NASIONAL INDONESIA,MABES TNI AD,PIEK BUDYAKTO,KASDAM V/BRW,800885,900000000,293000000,-,-,1265000000,60000000,2518000000,-,2518000000
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,STAF AHLI,IWAN KURNIAWAN,STAF AHLI,185891,4950000000,338000000,400000000,3420282154,459134062,-,9567416216,22200000,9545216216
16 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,INSPEKTORAT JENDERAL,ESTIARTY HARYANI,INSPEKTUR JENDERAL,211950,620126000,195400000,51000000,3610500000,514317428,136059174,5127402602,-,5127402602
27 Maret 2021,Periodik,2020,EKSEKUTIF,KANTOR WAKIL PRESIDEN,WAKIL PIMPINAN PEMERINTAHAN,K.H. MA'RUF AMIN,WAKIL PRESIDEN REPUBLIK INDONESIA,12352,9423900000,1395000000,256000000,-,3512767263,-,14587667263,-,14587667263
2 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,INSPEKTORAT JENDERAL,MURTI UTAMI ANDYANTO,INSPEKTUR JENDERAL,136751,3245700000,439000000,260869000,1025933437,1857398548,-,6828900985,32037401,6796863584
22 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,SUHARTI,SEKRETARIS JENDERAL,230482,2877688000,-,72470000,362015878,3960412007,-,7272585885,-,7272585885
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,STAF AHLI,ZAINUL ARIFIN,STAF AHLI KHUSUS BIDANG KEAMANAN,635017,22131000000,1236000000,265000000,-,23364615000,7365000000,54361615000,706455000,53655160000
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,PIMPINAN TERTINGGI,PRABOWO SUBIANTO,MENTERI,29770,275320450000,1258500000,16415023500,1701879000000,2522545835,45000000000,2042395519335,8000000000,2034395519335
6 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,INSPEKTORAT JENDERAL,RAZILU,INSPEKTUR JENDERAL,117942,1088752000,91000000,28758000,-,402678053,-,1611188053,-,1611188053
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,WAKIL PIMPINAN,ZAINUT TAUHID SA'ADI,WAKIL MENTERI,35479,16950000000,1185000000,130000000,-,743543158,1103747325,20112290483,357600000,19754690483
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,SEKRETARIAT JENDERAL,ACHMAD MARZUKI,STAF AHLI BIDANG HUKUM DAN KESATUAN BANGSA,463932,1190000000,283000000,73350000,10000000000,1203770466,-,12750120466,-,12750120466
31 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN KEUANGAN,PIMPINAN TERTINGGI,SRI MULYANI INDRAWATI,MENTERI KEUANGAN,35749,45811090623,145000000,446520000,12721023556,8140815666,-,67264449845,9215670562,58048779283
14 Maret 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN KESEHATAN,PIMPINAN TERTINGGI,BUDI GUNADI SADIKIN,MENTERI KESEHATAN,92423,94000000000,925000000,4418687181,75385270587,5629928829,-,180358886597,-,180358886597
31 Maret 2022,Periodik,2021,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",PIMPINAN TERTINGGI,NADIEM ANWAR MAKARIM,MENTERI PENDIDIKAN DAN KEBUDAYAAN,712194,50981969850,2663582550,752313000,1305855289957,5717368068,2900000000,1368870523425,193822906829,1175047616596
8 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,DITJEN PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN KESELAMATAN DAN KESEHATAN KERJA,HAIYANI RUMONDANG,DIRJEN PEMBINAAN PENGAWASAN KETENAGAKERJAAN DAN,446007,2900000000,425000000,45000000,-,851201299,-,4221201299,244000000,3977201299
7 Maret 2023,Periodik,2022,EKSEKUTIF,KEJAKSAAN REPUBLIK INDONESIA,KEJAKSAAN TINGGI JAWA BARAT,ASEP NANA MULYANA,KEPALA KEJAKSAAN TINGGI,20334,9203000000,734500000,146500000,-,240000000,-,10324000000,-,10324000000
24 Februari 2022,Periodik,2021,EKSEKUTIF,KANTOR PRESIDEN,PIMPINAN PEMERINTAHAN,JOKO WIDODO,PRESIDEN REPUBLIK INDONESIA,42822,59445696000,467000000,356950000,-,11511130292,-,71780776292,309330103,71471446189
1 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,INSPEKTORAT JENDERAL,TOGAP SIMANGUNSONG,PPUPD AHLI UTAMA,202786,4200000000,400000000,110000000,-,64000000,-,4774000000,-,4774000000
26 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN HUKUM DAN HAK ASASI MANUSIA,STAF AHLI,DHAHANA PUTRA,STAF AHLI,142848,1330000000,46700000,31000000,-,315643795,-,1723343795,-,1723343795
22 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,HAMID MUHAMMAD,STAF KHUSUS BIDANG PEMBELAJARAN,72822,11394114650,129500000,219500000,6955099464,1138296662,1307538459,21144049235,-,21144049235
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN BADAN USAHA MILIK NEGARA,STAF KHUSUS,NEZAR PATRIA,STAF KHUSUS 4,781331,4191000000,250000000,-,2980650000,3449124981,-,10870774981,-,10870774981
2 April 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL ASIA PASIFIK DAN AFRIKA,ABDUL KADIR JAILANI,DIREKTUR JENDERAL ASIA PASIFIK DAN AFRIKA,762160,17300000000,230000000,-,-,6554933836,-,24084933836,-,24084933836
3 Februari 2022,Periodik,2021,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,INSPEKTORAT JENDERAL,TUMPAK HAPOSAN SIMANJUNTAK,INSPEKTUR JENDERAL,206082,6775000000,266500000,100000000,-,379704201,-,7521204201,-,7521204201
12 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",BADAN PENGEMBANGAN DAN PEMBINAAN BAHASA,ENDANG AMINUDIN AZIZ,KEPALA,160515,8012500000,43000000,52000000,-,1129918911,2350000000,11587418911,-,11587418911
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,PIMPINAN TERTINGGI,JOHNNY GERARD PLATE,MENTERI KOMUNIKASI DAN INFORMATIKA,211793,139489015886,460000000,3612000000,4667812500,66487056577,-,214715884963,24750000000,189965884963
18 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,SEKRETARIAT JENDERAL,MIRA TAYYIBA,SEKRETARIS JENDERAL,415747,958210000,-,55100000,-,4010801009,-,5024111009,-,5024111009
6 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,STAF AHLI BIDANG HUBUNGAN ANTAR LEMBAGA,MUHSIN SYIHAB,STAF AHLI BIDANG HUBUNGAN ANTAR LEMBAGA,680709,3000000000,-,46395000,-,401434574,-,3447829574,-,3447829574
21 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL POLITIK DAN PEMERINTAHAN UMUM,BAHTIAR BAHARUDDIN,DIREKTUR JENDERAL,462502,5444722000,1496000000,130000000,-,1204003869,-,8274725869,2241947100,6032778769
1 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL KEKAYAAN NEGARA,RIONALD SILABAN,DIREKTUR JENDERAL,117381,40070410911,7048000000,1241700000,7393629358,7546421794,1493942613,64794104676,1500188000,63293916676
26 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,STAF AHLI,KIRANA PRITASARI,STAF AHLI BIDANG POLITIK DAN GLOBALISASI KESEHATAN,143157,1850000000,42000000,840360000,-,3975592696,-,6707952696,225000000,6482952696
26 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN KEUANGAN,PIMPINAN TERTINGGI,SRI MULYANI INDRAWATI,MENTERI KEUANGAN,35749,42633880000,145000000,446520000,10232315470,9366170347,-,62823885817,9509426080,53314459737
23 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,PIMPINAN TERTINGGI,IDA FAUZIYAH,MENTERI,474,12248750000,1200000000,235000000,-,5960658215,-,19644408215,-,19644408215
8 Maret 2021,Periodik,2020,EKSEKUTIF,"KEMENTERIAN DESA, PEMBANGUNAN DAERAH TERTINGGAL DAN TRANSMIGRASI",WAKIL PIMPINAN,BUDI ARIE SETIADI,WAKIL MENTERI,680734,63321800000,1450000000,2300000000,24500000000,9950052000,-,101521852000,-,101521852000
20 Februari 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI","BADAN STANDAR, KURIKULUM, DAN ASESMEN PENDIDIKAN",ANINDITO ADITOMO,KEPALA,858921,5010500000,-,-,1766011011,487991207,140313436,7404815654,151126425,7253689229
29 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,PIMPINAN TERTINGGI,JOHNNY GERARD PLATE,MENTERI KOMUNIKASI DAN INFORMATIKA,211793,144002845886,473500000,3612000000,5213125000,50212419646,-,203513890532,10352000000,193161890532
25 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL KEPENDUDUKAN DAN PENCATATAN SIPIL,ZUDAN ARIF FAKRULLOH,DIREKTUR JENDERAL,144981,4012378000,100000000,760000000,-,1090094569,-,5962472569,1008996096,4953476473
24 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,DIREKTORAT JENDERAL PEMBINAAN PELATIHAN VOKASI DAN PRODUKTIVITAS,BUDI HARTAWAN,DIREKTUR JENDERAL,109849,20130243000,224000000,880000000,1578358000,4376375941,377906391,27566883332,500000000,27066883332
15 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,PIMPINAN TERTINGGI,M. TITO KARNAVIAN,MENTERI DALAM NEGERI,191175,8297741000,-,260000000,-,14725723072,-,23283464072,-,23283464072
30 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL BINA PEMBANGUNAN DAERAH,TEGUH SETYABUDI,DIREKTUR JENDERAL,145351,6117600000,235000000,275000000,-,933385905,-,7560985905,-,7560985905
15 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN SOSIAL,DIREKTORAT JENDERAL PEMBERDAYAAN SOSIAL,EDI SUHARTO,DIREKTUR JENDERAL,145489,1796500000,172000000,49500000,-,1753586019,147094535,3918680554,-,3918680554
24 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,BADAN KEBIJAKAN FISKAL,FEBRIO NATHAN KACARIBU,KEPALA BADAN,764860,1046000000,415000000,9224420,5951538931,640074652,5979877,8067817880,2153770,8065664110
