tanggal_penyampaian,jenis_laporan,tahun_laporan,bidang,lembaga,unit_kerja,nama,jabatan,nhk,harta_tanah_dan_bangunan,harta_alat_transportasi_dan_mesin,harta_bergerak_lainnya,surat_berharga,harta_kas_dan_setara_kas,harta_lainnya,sub_total,hutang,total_harta_kekayaan
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,STAF AHLI,HENRI SUBIAKTO,STAF AHLI MENTERI BIDANG HUKUM,409785,5550000000,490000000,390000000,-,1005000000,-,7435000000,-,7435000000
27 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,DIREKTORAT JENDERAL KERJA SAMA MULTILATERAL,TRI THARYAT,DIREKTUR JENDERAL KERJA SAMA MULTILATERAL,547904,8583470000,130000000,-,-,1156643921,180000000,10050113921,142500000,9907613921
27 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,STAF AHLI,ISMAIL PAKAYA,"STAF AHLI BIDANG KEBIJAKAN SOSIAL, POLITIK DAN KEBIJAKAN PUBLIK",661990,367000000,127000000,35000000,-,3313045,-,532313045,171771435,360541610
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,PIMPINAN TERTINGGI,YAQUT CHOLIL QOUMAS,MENTERI,36278,9320500000,2140000000,220754500,-,1851590750,-,13532845250,1000000000,12532845250
13 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN PERTAHANAN,PUSAT KELAIKAN,T. MOHAMMAD YANI RUDIANSYAH,KEPALA PUSAT,865695,5830000000,670500000,-,1000000000,1502826136,-,9003326136,-,9003326136
27 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KEUANGAN,DIREKTORAT JENDERAL PERBENDAHARAAN,ASTERA PRIMANTO BHAKTI,DIREKTUR JENDERAL,116120,8521141000,566750000,1143992000,2782694150,4274243276,-,17288820426,17137200,17271683226
8 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,STAF AHLI,SETIAJI,STAF AHLI BIDANG TEKNOLOGI KESEHATAN,227479,5375000000,428000000,98559400,-,685295293,-,6586854693,2275262783,4311591910
4 April 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN AGAMA,DIREKTORAT JENDERAL BIMBINGAN MASYARAKAT HINDU,I NENGAH DUIJA,DIREKTUR JENDERAL,876190,2920000000,635000000,27900000,-,25912900,-,3608812900,475000000,3133812900
2 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN SOSIAL,PIMPINAN TERTINGGI,TRI RISMAHARINI,MENTERI,151020,7097980000,958600000,160000000,-,1067644615,-,9284224615,703600000,8580624615
31 Maret 2021,Khusus - Awal Menjabat,2020,EKSEKUTIF,KEMENTERIAN AGAMA,PIMPINAN TERTINGGI,YAQUT CHOLIL QOUMAS,MENTERI,36278,9320500000,1270000000,220754500,-,646839139,-,11458093639,300000000,11158093639
23 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN DALAM NEGERI,DIREKTORAT JENDERAL BINA KEUANGAN DAERAH,AGUS FATONI,DIREKTUR JENDERAL,262342,4287850000,63700000,256600000,-,3164814999,-,7772964999,-,7772964999
28 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KETENAGAKERJAAN,SEKRETARIAT JENDERAL,ANWAR SANUSI,KUASA PENGGUNA ANGGARAN,519555,5200100000,36000000,950400000,-,7338366804,-,13524866804,988200000,12536666804
22 Februari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,SEKRETARIAT JENDERAL,KUNTA WIBAWA DASA NUGRAHA,SEKRETARIS JENDERAL,194878,12851000000,448230000,513490000,5312739,3840359114,230058980,17888450833,-,17888450833
31 Maret 2021,Periodik,2020,EKSEKUTIF,KEMENTERIAN LUAR NEGERI,PIMPINAN TERTINGGI,RETNO LESTARI PRIANSARI MARSUDI,MENTERI LUAR NEGERI RI,15169,2548454500,422250200,120000000,-,22459277412,-,25549982112,-,25549982112
31 Januari 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KESEHATAN,STAF AHLI,SUNDOYO,STAF AHLI BIDANG HUKUM KESEHATAN,210278,3880000000,174000000,95000000,-,549413633,-,4698413633,741959876,3956453757
28 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",DIREKTORAT JENDERAL KEBUDAYAAN,HILMAR FARID SETIADI,DIREKTUR,213156,3300000000,51000000,1662780000,-,1598829783,19258510,6631868293,-,6631868293
24 Maret 2023,Periodik,2022,EKSEKUTIF,"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI",SEKRETARIAT JENDERAL,FIONA HANDAYANI,STAF KHUSUS BIDANG ISU-ISU STRATEGIS,800716,539097750,-,200000000,1741579901,108901378,194562457,2784141486,-,2784141486
31 Maret 2023,Periodik,2022,EKSEKUTIF,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA,DIREKTORAT JENDERAL APLIKASI INFORMATIKA,SEMUEL ABRIJANI PANGERAPAN,DIREKTUR JENDERAL APLIKASI INFORMATIKA,436163,16500000000,1872000000,210000000,-,1980202731,2708100000,23270302731,1123200000,22147102731
